Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,109247.6953125,445332
2016-01-05,143000.0,145000.0,142000.0,143500.0,108868.359375,530496
2016-01-06,144000.0,145000.0,139000.0,140000.0,106213.03125,769406
2016-01-07,138500.0,140000.0,137500.0,137500.0,104316.3671875,586187
2016-01-08,134500.0,138000.0,133500.0,136500.0,103557.703125,888701
2016-01-11,134500.0,140500.0,134000.0,140000.0,106213.03125,542749
2016-01-12,140500.0,141500.0,139000.0,139500.0,105833.6953125,386506
2016-01-13,140500.0,141500.0,139500.0,140500.0,106592.3671875,338336
2016-01-14,138500.0,143500.0,136500.0,141000.0,106971.71875,664829
2016-01-15,141000.0,142000.0,136500.0,138500.0,105075.0390625,568653
2016-01-18,137500.0,140000.0,135500.0,139000.0,105454.375,400716
2016-01-19,138000.0,140000.0,136000.0,140000.0,106213.03125,332956
2016-01-20,139500.0,140000.0,135500.0,136500.0,103557.703125,544330
2016-01-21,136000.0,138000.0,135500.0,137000.0,103937.046875,455723
2016-01-22,138000.0,140500.0,136500.0,139000.0,105454.375,551671
2016-01-25,140000.0,140500.0,136000.0,137500.0,104316.3671875,543064
2016-01-26,136500.0,137000.0,134500.0,136000.0,103178.375,564584
2016-01-27,135500.0,137000.0,134500.0,137000.0,103937.046875,702981
2016-01-28,135500.0,136500.0,134500.0,135000.0,102419.6953125,480730
2016-01-29,135000.0,136000.0,131000.0,133000.0,100902.390625,990382
2016-02-01,132000.0,132500.0,130500.0,132500.0,100523.046875,689972
2016-02-02,131500.0,132500.0,129000.0,129500.0,98247.0390625,594441
2016-02-03,127500.0,129500.0,126500.0,129000.0,97867.71875,649021
2016-02-04,130000.0,132500.0,129500.0,132500.0,100523.046875,600523
2016-02-05,132000.0,133500.0,131000.0,133500.0,101281.703125,513150
2016-02-11,130500.0,132500.0,130500.0,131000.0,99385.046875,688873
2016-02-12,131500.0,137500.0,131000.0,137000.0,103937.046875,1264899
2016-02-15,137500.0,141500.0,135000.0,139500.0,105833.6953125,879160
2016-02-16,139500.0,142500.0,137500.0,141000.0,106971.71875,524822
2016-02-17,142000.0,147500.0,141000.0,147000.0,111523.6953125,772996
2016-02-18,147500.0,149000.0,145500.0,147000.0,111523.6953125,468798
2016-02-19,147000.0,151000.0,147000.0,149000.0,113041.0,477553
2016-02-22,147500.0,148500.0,146000.0,147500.0,111903.0078125,273335
2016-02-23,148000.0,149000.0,146500.0,149000.0,113041.0,250401
2016-02-24,147500.0,150000.0,146500.0,149000.0,113041.0,191286
2016-02-25,149500.0,153000.0,145500.0,147000.0,111523.6953125,490265
2016-02-26,148000.0,148000.0,144500.0,147000.0,111523.6953125,351408
2016-02-29,145500.0,149000.0,144500.0,147500.0,111903.0078125,570117
2016-03-02,150000.0,150000.0,148000.0,150000.0,113799.703125,539821
2016-03-03,151500.0,151500.0,146000.0,147500.0,111903.0078125,627810
2016-03-04,146000.0,147500.0,143500.0,147500.0,111903.0078125,696287
2016-03-07,147500.0,147500.0,145500.0,146500.0,111144.328125,317439
2016-03-08,145000.0,149500.0,145000.0,148000.0,112282.359375,366489
2016-03-09,147000.0,149500.0,146500.0,149500.0,113420.328125,452965
2016-03-10,149000.0,150000.0,148000.0,148000.0,112282.359375,690061
2016-03-11,147500.0,150000.0,147500.0,149000.0,113041.0,408175
2016-03-14,150000.0,150500.0,147000.0,148500.0,112661.6796875,362075
2016-03-15,148500.0,149000.0,146000.0,147000.0,111523.6953125,309077
2016-03-16,147000.0,148000.0,145500.0,146500.0,111144.328125,206136
2016-03-17,148000.0,148500.0,146000.0,146500.0,111144.328125,492380
2016-03-18,148000.0,150500.0,147500.0,150500.0,114179.0,769047
2016-03-21,151000.0,155000.0,149500.0,154500.0,117213.6640625,803657
2016-03-22,155500.0,159000.0,155000.0,159000.0,120627.625,872121
2016-03-23,159500.0,159500.0,157000.0,158000.0,119868.96875,454762
2016-03-24,156500.0,157000.0,154500.0,155500.0,117972.3203125,288522
2016-03-25,154500.0,155500.0,152000.0,153000.0,116075.671875,279961
2016-03-28,153000.0,156500.0,152000.0,154000.0,116834.328125,186865
2016-03-29,155000.0,156000.0,153500.0,155000.0,117593.0078125,229075
2016-03-30,156000.0,159000.0,155000.0,155500.0,117972.3203125,373060
2016-03-31,156000.0,156000.0,151500.0,152500.0,115696.34375,575626
2016-04-01,152500.0,152500.0,147500.0,149500.0,113420.328125,604435
